Object,Clients,Write(MB/s),Read(MB/s),,,,   
4Kb ,10,6.166,0.89,,,,
4Kb ,10,6.163,0.89,,,,
4Kb ,10,6.006,0.887,,,,
4Kb ,30,7.982,2.683,,,,
4Kb ,30,7.989,2.67,,,,
4Kb ,30,7.566,2.653,,,,
4Kb ,50,3.12,4.183,,,,
4Kb ,50,1.785,4.244,,,,
4Kb ,50,2.354,4.168,,,,
4Kb ,100,0.898,0.811,,,,
4Kb ,100,1.132,0.64,,,,
4Kb ,100,1.181,0.828,,,,
4Kb ,250,0.218,0.134,,,,
4Kb ,250,0.217,0.128,,,,
4Kb ,250,0.196,0.121,,,,
1Mb ,10,823.884,911.571,,,,
1Mb ,10,821.938,917.883,,,,
1Mb ,10,831.543,900.426,,,,
1Mb ,30,1274,1041.164,,,,
1Mb ,30,1253.308,985.682,,,,
1Mb ,30,1258.122,1081.154,,,,
1Mb ,50,812.638,482.941,,,,
1Mb ,50,726.302,403.59,,,,
1Mb ,50,973.943,557.223,,,,
1Mb ,100,457.71,316.15,,,,
1Mb ,100,203.368,154.189,,,,
1Mb ,100,231.206,153.754,,,,
1Mb ,250,55.481,36.912,,,,
1Mb ,250,112.824,68.804,,,,
1Mb ,250,55.617,35.295,,,,
4Mb ,10,1270.199,1790.792,,,,
4Mb ,10,1289.693,1791.506,,,,
4Mb ,10,1293.828,1779.604,,,,
4Mb ,30,1642.82,1766.923,,,,
4Mb ,30,1676.834,1723.239,,,,
4Mb ,30,1663.318,1768.985,,,,
4Mb ,50,1507.156,997.776,,,,
4Mb ,50,1563.492,1095.009,,,,
4Mb ,50,1472.231,1051.215,,,,
4Mb ,100,1617.6,477.106,,,,
4Mb ,100,1530.769,425.529,,,,
4Mb ,100,1339.581,478.535,,,,
4Mb ,250,1571.379,101.874,,,,
4Mb ,250,1595.328,94.477,,,,
4Mb ,250,418.846,312.942,,,,
